country,region,alpha_2,alpha_3,population,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Inflation
Algeria,north,DZ,DZA,34178188,9.7,14.6,6.6,7.8,6.3,10.4,14,5.9,5.9,9.2,9.3,25.9,31.7,20.5,29,29.8,18.7,5.7,5,2.6,0.3,4.2,1.4,4.3,4,1.4,2.3,3.7,4.9,5.7,3.9,4.5,8.9,3.3,2.9,4.8,6.4,5.6,4.3,2,2.4
Angola,south,AO,AGO,12799293,46.7,1.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,85.3,299.1,1379.5,949.8,2672.2,4146,221.5,107.4,248.2,325,152.6,108.9,98.2,43.5,23,13.3,12.2,12.5,13.7,14.5,13.5,10.3,8.8,7.3,9.2,30.7,29.8,19.6,17.1,22.3
Benin,west,BJ,BEN,8791832,9.6,0.8,4.1,-6.1,10.3,1.2,0.4,-1.3,3.4,-0.2,1.1,2.1,5.9,0.4,38.5,14.5,4.9,3.8,5.8,0.3,4.1,3.6,2.6,1.8,1.2,4.7,6.4,1.2,6.8,0.4,2.2,2.7,6.7,1,-1.1,0.2,-0.8,1.8,0.8,-0.9,3
Botswana,south,BW,BWA,1990876,12.1,16.3,11.2,10.5,8.6,8.1,10,9.8,8.4,11.6,11.4,12.6,16.5,14.4,10.6,10.5,10.1,8.9,6.5,7.8,8.5,6.6,8,9.2,7,8.6,11.6,7.1,12.6,8.1,6.9,8.5,7.5,5.9,4.4,3.1,2.8,3.3,3.2,2.8,2
Burkina Faso,west,BF,BFA,15746232,12.3,7.6,12.1,8.3,4.8,7.1,-2.7,-2.9,4.2,-0.3,-0.8,2.5,-2,0.6,24.7,7.8,6.1,2.9,4.9,-1.1,-0.2,4.7,2.3,2,-0.4,6.4,2.3,-0.2,10.7,0.9,-0.6,2.8,3.8,0.5,-0.3,1.7,0.4,1.5,2,-3.2,1.9
Burundi,central,BI,BDI,8988091,1.2,12.2,5.9,8.2,14.3,3.8,1.7,7.1,4.5,11.7,7,9,1.8,9.7,14.9,19.2,26.5,31.1,12.5,3.5,25.5,7.9,-1.3,10.6,8.2,13.3,2.7,8.4,24.4,10.6,6.5,9.6,18.2,7.9,4.4,5.6,5.5,1.6,-4,-0.7,7.3
CÃ´te dâ€™Ivoire,west,CI,CIV,20617068,8.8,8.7,7.4,5.9,4.3,1.8,6.8,7,6.9,1,-0.7,1.6,4.2,2.1,26,14.1,2.7,6.3,4.5,0.7,2.5,4.4,3.1,3.3,1.5,3.9,2.5,1.9,6.3,1,1.4,4.9,1.3,2.6,0.4,1.2,0.7,0.7,0.4,0.8,2.5
Cabo Verde,west,CV,CPV,429474,15.1,20.7,21.1,20.2,9.7,5.9,11.1,3.7,3.6,4.7,11.1,7.6,13.4,5.8,3.3,8.4,6,8.6,4.4,4.3,-2.4,3.7,1.9,1.2,-1.9,0.4,4.8,4.4,6.8,1,2.1,4.5,2.5,1.5,-0.2,0.1,-1.4,0.8,1.3,1.1,0.6
Cameroon,central,CM,CMR,18879301,7.7,7.5,15.3,20.5,12.1,4.2,4.3,2.8,1.7,1.6,1.5,-0.6,1.9,-3.7,12.7,25.8,3.9,4.8,3.2,1.8,1.2,4.5,2.8,0.6,0.3,2,4.9,1.1,5.3,3,1.3,2.9,2.4,2.1,1.9,2.7,0.9,0.6,1.1,2.5,2.8
Central African Republic,central,CF,CAF,4511488,13.3,14.7,13.2,14.6,2.6,10.5,2.4,-7,-3.9,0.6,-0.2,-2.8,-0.8,-2.9,24.5,19.2,3.8,1.6,-2,-1.6,3.4,4.1,2.3,4.4,-2.6,2.9,6.8,1,9.3,3.5,1.5,1.2,5.5,7,14.9,1.4,4.9,4.2,1.6,2.7,2.3
Chad,central,TD,TCD,10329208,8.6,8.1,6.4,7.9,20.3,5.1,-13.1,-2.7,14.9,-4.9,0.5,4.2,-3.8,-10.9,41.3,5.4,11.3,5.6,4.3,-8.4,3.8,12.4,5.2,-1.8,-4.8,4.4,9.6,-7.4,8.3,10.1,-2.1,2,7.5,0.2,1.7,4.8,-1.6,-0.9,4,-1,3.5
Comoros,east,KM,COM,752438,13.3,6.5,15.2,9.2,6.1,8.4,-11.3,3.3,0.3,4.4,-7.4,1.7,-1.4,2,25.3,3.2,2.4,1.5,1.2,1.1,5.9,5.6,3.6,3.7,4.5,3,3.4,4.5,4.8,4.8,3.9,2.2,5.9,0.4,0,0.9,0.8,0.1,1.7,3.7,1.1
Congo Republic,central,CG,COG,4012809,7.3,0.8,3.5,3.5,3.5,3.5,3.5,3.5,-13,-9.6,0.3,9.4,-3.2,-4.1,7.5,6.3,7.4,12.7,2.2,3,0.5,0.8,3,1.7,3.7,2.5,3.7,2.6,6,4.3,0.4,1.8,5,4.6,0.9,3.2,3.2,0.4,1.2,2.2,2.4
Djibouti,east,DJ,DJI,516055,,,,,,,,,,,,6.8,3.4,4.4,6.5,4.9,3.5,2.5,2.2,-0.4,1.2,1.9,1.4,1.6,2.4,3.3,3.5,5.9,8.7,5.6,2.5,5.2,4.2,1.1,1.3,-0.8,2.7,0.6,0.1,3.3,2.9
DR Congo,central,CD,COD,68692542,40,34.9,37.1,76.7,52.6,23.5,46.7,90.4,82.7,104.1,81.3,2154.4,4129.2,1986.9,23773.1,541.8,617,199,29.1,284.9,550,357.3,25.3,12.8,4,21.5,12.8,16.7,18,46.1,23.5,14.9,0.9,0.9,1.2,0.7,3.2,35.8,29.3,4.7,11.3
Egypt,north,EG,EGY,83082869,20.5,10.4,14.9,16,17.1,12.1,23.9,25.2,15.2,20.1,21.2,14.7,21.1,11,9,9.4,7.1,6.2,5,3.7,2.8,2.4,2.3,3.4,8.2,8.7,4.3,10.9,11.7,16.2,11.7,11.1,8.7,6.9,10.1,11,10.2,23.5,20.9,13.9,5.7
Equatorial Guinea,central,GQ,GNQ,650702,0,16.7,38.3,60.1,59.5,84,-17.6,-13.2,2.5,6.1,0.9,-3.4,-4.3,5.5,31.8,19.9,4.5,3,7.9,0.4,4.8,8.7,7.6,7.3,4.2,5.6,4.5,2.8,4.7,5.7,5.3,4.8,3.4,3.2,4.3,1.7,1.4,0.7,1.3,1.2,4.8
